job_year,job_education
947,在校生/应届生,本科
948,在校生/应届生,大专
949,2年经验,本科
950,无需经验,本科
951,5-7年经验,本科
952,2年经验,大专
953,3-4年经验,硕士
954,2年经验,本科
955,8-9年经验,本科
956,3-4年经验,本科
957,1年经验,大专
958,1年经验,本科
959,3-4年经验,大专
960,5-7年经验,本科
961,5-7年经验,本科
962,3-4年经验,本科
963,大专,无学历要求
964,1年经验,本科
965,3-4年经验,本科
966,2年经验,大专
967,2年经验,大专
968,1年经验,大专
969,本科,无学历要求
970,1年经验,本科
971,2年经验,本科
972,1年经验,大专
973,无需经验,大专
974,5-7年经验,本科
975,1年经验,本科
976,1年经验,大专
977,3-4年经验,本科
978,2年经验,本科
979,3-4年经验,本科
980,1年经验,硕士
981,在校生/应届生,本科
982,1年经验,大专
983,5-7年经验,本科
984,3-4年经验,本科
985,在校生/应届生,本科
986,1年经验,本科
987,3-4年经验,本科
988,1年经验,本科
989,3-4年经验,本科
990,1年经验,无学历要求
991,2年经验,本科
992,2年经验,本科
993,2年经验,大专
994,1年经验,无学历要求
995,2年经验,本科
996,3-4年经验,本科
997,2年经验,本科
998,无需经验,大专
999,无需经验,本科
1000,2年经验,大专
1001,3-4年经验,本科
1002,无需经验,中专
1003,在校生/应届生,无学历要求
1004,无需经验,中专
1005,5-7年经验,本科
1006,3-4年经验,大专
1007,3-4年经验,本科
1008,2年经验,本科
1009,1年经验,中专
1010,1年经验,本科
1011,3-4年经验,大专
1012,1年经验,大专
1013,3-4年经验,无学历要求
1014,3-4年经验,硕士
1015,大专,无学历要求
1016,1年经验,本科
1017,在校生/应届生,本科
1018,3-4年经验,本科
1019,1年经验,本科
1020,3-4年经验,本科
1021,2年经验,大专
1022,3-4年经验,本科
1023,3-4年经验,本科
1024,1年经验,大专
1025,1年经验,中专
1026,3-4年经验,本科
1027,3-4年经验,大专
1028,3-4年经验,大专
1029,在校生/应届生,博士
1030,2年经验,大专
1031,1年经验,本科
1032,3-4年经验,大专
1033,5-7年经验,大专
1034,2年经验,大专
1035,1年经验,本科
1036,3-4年经验,本科
1037,2年经验,无学历要求
1038,3-4年经验,本科
1039,1年经验,高中
1040,3-4年经验,本科
1041,2年经验,本科
1042,1年经验,本科
1043,2年经验,大专
1044,3-4年经验,本科
1045,1年经验,本科
1046,1年经验,本科
1047,在校生/应届生,本科
1048,1年经验,中专
1049,招2人,无学历要求
1050,2年经验,本科
1051,3-4年经验,本科
1052,1年经验,大专
1053,1年经验,本科
1054,在校生/应届生,初中及以下
1055,1年经验,本科
1056,1年经验,本科
1057,1年经验,本科
1058,在校生/应届生,本科
1059,1年经验,大专
1060,1年经验,大专
1061,3-4年经验,大专
1062,3-4年经验,本科
1063,1年经验,中专
1064,3-4年经验,本科
1065,无需经验,大专
1066,无需经验,大专
1067,3-4年经验,硕士
1068,10年以上经验,本科
1069,无需经验,大专
1070,3-4年经验,本科
1071,无需经验,无学历要求
1072,在校生/应届生,大专
1073,5-7年经验,本科
1074,1年经验,本科
1075,3-4年经验,本科
1076,5-7年经验,本科
1077,3-4年经验,本科
1078,在校生/应届生,大专
1079,3-4年经验,本科
1080,2年经验,本科
1081,2年经验,本科
1082,2年经验,大专
1083,3-4年经验,本科
1084,在校生/应届生,本科
1085,3-4年经验,中专
1086,1年经验,无学历要求
1087,3-4年经验,本科
1088,1年经验,本科
1089,无需经验,大专
1090,3-4年经验,硕士
1091,2年经验,大专
1092,3-4年经验,无学历要求
1093,在校生/应届生,本科
1094,1年经验,本科
1095,1年经验,大专
1096,5-7年经验,硕士
1097,3-4年经验,本科
1098,2年经验,本科
1099,无需经验,大专
1100,5-7年经验,本科
1101,2年经验,本科
1102,在校生/应届生,本科
1103,2年经验,本科
1104,在校生/应届生,大专
1105,无需经验,大专
1106,2年经验,大专
1107,5-7年经验,本科
1108,无需经验,大专
1109,3-4年经验,本科
1110,2年经验,本科
1111,在校生/应届生,无学历要求
1112,3-4年经验,大专
1113,1年经验,大专
1114,1年经验,大专
1115,3-4年经验,本科
1116,3-4年经验,本科
1117,1年经验,本科
1118,2年经验,本科
1119,1年经验,本科
1120,5-7年经验,大专
1121,在校生/应届生,本科
1122,1年经验,大专
1123,3-4年经验,本科
1124,无需经验,大专
1125,5-7年经验,无学历要求
1126,2年经验,大专
1127,2年经验,本科
1128,2年经验,大专
1129,3-4年经验,本科
1130,1年经验,大专
1131,无需经验,本科
1132,1年经验,本科
1133,1年经验,大专
1134,5-7年经验,本科
1135,1年经验,硕士
1136,在校生/应届生,本科
1137,3-4年经验,本科
1138,1年经验,大专
1139,在校生/应届生,中专
1140,3-4年经验,本科
1141,1年经验,大专
1142,3-4年经验,本科
1143,1年经验,本科
1144,1年经验,大专
1145,1年经验,本科
1146,5-7年经验,博士
1147,无需经验,大专
1148,3-4年经验,本科
1149,2年经验,大专
1150,1年经验,本科
1151,1年经验,大专
1152,1年经验,本科
1153,3-4年经验,大专
1154,1年经验,大专
1155,2年经验,大专
1156,3-4年经验,本科
1157,1年经验,本科
1158,2年经验,本科
1159,1年经验,无学历要求
1160,2年经验,本科
1161,3-4年经验,本科
1162,3-4年经验,大专
1163,2年经验,大专
